id,district,latitude,longitude,area,rooms,floor,total_floors,metro_distance,distance_to_center,park_distance,school_distance,shopping_distance,year_built,building_age,building_type,renovation,ceiling_height,has_balcony,has_loggia,has_parking,has_elevator,price,price_per_sqm
5094,СВАО,55.852782,37.618859,82.1,3,12,19,0.64,11.19,1.36,1.4,2.4,2003,21,панель,дизайнерский,2.53,0,0,0,1,25105793.77,305709.14
5095,ЦАО,55.761069,37.582821,121.8,3,15,15,0.34,3.98,1.16,0.48,2.38,1976,48,сталинка,без ремонта,3.09,1,0,0,1,67945557.09,557857.32
5096,ВАО,55.82391,37.841067,38.8,3,8,17,1.34,26.07,1.7,0.47,1.23,2021,3,блочный,без ремонта,2.73,1,0,1,1,11041576.88,284690.35
5097,ЦАО,55.775875,37.60589,84.5,3,17,23,0.96,2.95,1.63,1.2,1.66,1969,55,сталинка,без ремонта,2.95,0,0,0,1,40020564.76,473861.57
5098,СЗАО,55.839127,37.394714,126.3,5,5,16,1.88,26.55,1.5,0.52,2.25,1989,35,блочный,косметический,2.99,0,0,0,1,31095199.25,246248.32
5099,НАО,55.562534,37.390394,39.7,2,14,19,0.91,32.83,1.31,1.18,2.87,2016,8,панель,косметический,2.72,1,1,1,1,8013631.27,201891.02
5100,ВАО,55.796341,37.82643,133.3,1,10,14,0.69,23.71,2.14,0.66,2.08,1991,33,панель,косметический,3.04,1,1,0,1,37328786.63,280095.65
5101,СЗАО,55.806355,37.363022,67.5,1,8,11,0.85,28.88,1.05,1.21,2.25,1978,46,панель,без ремонта,2.53,1,1,0,1,15008646.07,222417.08
5102,НАО,55.548254,37.38927,127.9,3,13,20,0.7,33.96,1.7,1.11,2.52,2021,3,панель,дизайнерский,2.59,1,0,1,1,28811939.27,225252.26
5103,ЮЗАО,55.635633,37.562818,66.8,2,9,11,0.26,14.27,0.59,0.41,0.92,1995,29,кирпич,дизайнерский,2.91,1,0,1,1,22442742.72,335820.3
5104,ЮВАО,55.69711,37.775828,90.8,1,10,17,1.36,18.6,1.3,0.25,0.31,2011,13,монолит,косметический,2.66,1,0,0,1,25450424.34,280251.62
5105,ЮАО,55.65597,37.766327,80.6,3,15,16,1.47,19.66,2.18,0.2,2.83,2012,12,панель,евроремонт,3.07,1,1,0,1,25558984.42,316924.07
5106,ЮВАО,55.685159,37.785944,37.2,4,12,20,0.88,20.12,1.37,0.18,1.42,2019,5,блочный,евроремонт,2.5,1,0,0,1,11926830.35,320737.75
5107,ЮЗАО,55.650432,37.562989,110.6,1,9,10,0.11,12.8,2.33,0.92,0.76,1961,63,монолит,дизайнерский,2.93,1,0,0,1,37024151.11,334878.48
5108,ЮАО,55.636163,37.74237,123.9,4,2,22,0.22,18.91,2.46,0.43,1.45,2010,14,панель,косметический,2.99,1,0,0,1,33306891.24,268814.83
5109,СЗАО,55.823618,37.367029,99.5,1,8,11,1.52,28.92,0.94,0.52,0.54,1989,35,панель,без ремонта,2.98,1,1,0,1,27647521.91,277741.52
5110,СЗАО,55.840472,37.349722,90.5,2,11,11,0.65,31.3,2.45,1.22,0.59,1975,49,панель,без ремонта,2.66,0,0,1,1,22658949.91,250274.83
5111,ЦАО,55.777385,37.623286,98.4,4,5,16,1.53,2.89,1.23,1.08,1.83,2007,17,сталинка,евроремонт,2.56,1,1,1,1,53862761.49,547647.64
5112,ЮВАО,55.684095,37.760427,88.3,1,1,21,0.68,17.56,1.39,1.25,2.46,2006,18,монолит,дизайнерский,2.64,0,0,1,1,26571461.06,300856.96
5113,ЦАО,55.749464,37.625917,81.5,2,15,18,0.17,0.98,0.73,0.32,0.34,1976,48,монолит,косметический,2.66,1,0,1,1,47185292.14,579285.79
5114,НАО,55.56034,37.360316,64.0,2,7,20,0.48,35.6,1.22,1.05,2.06,2010,14,панель,косметический,3.04,1,1,0,1,11574762.47,180889.89
5115,САО,55.825526,37.521295,79.7,3,17,18,0.94,13.44,1.52,1.29,1.7,1999,25,кирпич,евроремонт,2.51,0,0,0,1,23869446.53,299561.28
5116,СВАО,55.851739,37.622023,110.1,1,18,22,0.4,11.08,2.23,1.07,0.49,2020,4,панель,евроремонт,3.04,1,0,1,1,30488890.61,276867.95
5117,ЮЗАО,55.652869,37.564139,118.0,1,8,9,1.84,12.5,1.03,1.26,1.5,2002,22,кирпич,евроремонт,3.05,1,1,0,1,35400984.65,300063.95
5118,НАО,55.540898,37.372158,111.3,4,2,12,0.29,35.93,2.48,1.2,0.72,1996,28,монолит,косметический,3.19,1,1,0,1,23444778.53,210585.54
5119,СЗАО,55.819978,37.392464,107.6,2,6,15,0.45,26.09,1.34,0.4,0.73,1970,54,монолит,без ремонта,2.83,1,0,0,1,29752325.25,276566.88
5120,ТАО,55.340065,37.319594,133.7,2,17,18,0.21,56.43,2.01,0.19,2.15,1986,38,панель,косметический,2.58,1,1,1,1,23986593.43,179443.91
5121,ТАО,55.317787,37.28275,114.4,4,1,12,0.49,60.86,0.83,0.75,2.3,1976,48,панель,дизайнерский,3.07,1,1,0,1,22895672.83,200116.53
5122,ВАО,55.801444,37.805271,133.4,1,20,23,0.98,21.55,1.75,1.47,2.25,1981,43,панель,без ремонта,2.52,1,0,0,1,32875643.82,246430.17
5123,НАО,55.554485,37.346497,49.9,1,9,19,1.09,37.22,1.95,0.27,0.67,2007,17,панель,евроремонт,2.68,0,0,0,1,10615604.6,212792.04
5124,САО,55.829368,37.562029,34.9,2,3,13,0.5,10.57,2.03,1.09,1.84,2012,12,монолит,дизайнерский,2.94,0,0,0,1,13552776.18,388028.35
5125,ЦАО,55.722509,37.629314,70.3,3,4,22,0.64,3.53,2.03,1.08,0.61,2009,15,сталинка,косметический,2.52,1,1,0,1,37507821.01,533569.42
5126,ЮАО,55.61943,37.698369,122.7,2,11,11,0.12,17.24,1.92,0.12,2.02,2008,16,монолит,евроремонт,2.68,1,0,0,1,38195102.61,311393.49
5127,ТАО,55.326901,37.269012,60.9,1,1,17,0.3,61.01,0.41,0.42,1.45,2018,6,панель,косметический,2.63,1,1,1,1,10045530.21,164957.78
5128,НАО,55.536528,37.377952,94.1,2,10,10,1.31,35.76,2.37,1.1,2.79,1998,26,панель,евроремонт,3.19,1,1,0,1,17476072.68,185801.33
5129,ЦАО,55.758279,37.586539,69.1,4,9,11,1.88,3.51,1.68,0.6,2.98,1952,72,кирпич,косметический,3.08,1,1,0,1,33802914.77,489434.26
5130,ЮЗАО,55.643797,37.553251,85.6,2,11,12,0.54,13.97,0.49,0.6,1.61,2000,24,панель,косметический,2.68,0,0,1,1,29063178.54,339451.67
5131,ЮАО,55.602619,37.732559,76.3,2,13,22,0.71,20.93,2.14,0.98,0.47,1994,30,блочный,дизайнерский,2.8,0,0,1,1,20135744.99,263880.86
5132,ЮВАО,55.72081,37.755827,91.0,1,1,18,0.3,15.74,2.48,0.21,2.32,2015,9,панель,без ремонта,2.66,0,0,1,1,19181715.37,210716.24
5133,ЦАО,55.734043,37.658566,32.2,2,2,7,0.17,4.98,0.89,0.38,0.36,2007,17,сталинка,дизайнерский,2.96,1,1,0,1,19327266.6,599767.38
5134,ЮАО,55.643031,37.739788,58.6,3,23,23,0.49,18.18,2.06,0.32,1.83,1996,28,блочный,косметический,3.05,1,0,0,1,15355942.73,261911.12
5135,ЮВАО,55.693256,37.77301,33.9,2,1,20,1.08,18.45,1.71,0.95,0.83,1984,40,панель,дизайнерский,2.72,0,0,1,1,10264138.53,302384.11
5136,СВАО,55.881736,37.62263,79.5,2,4,21,0.14,14.41,2.36,0.16,1.82,1985,39,блочный,косметический,2.7,0,0,0,1,22471551.23,282517.85
5137,ЗАО,55.698872,37.435427,108.0,3,4,14,1.18,21.05,1.69,0.48,0.83,1978,46,кирпич,без ремонта,2.9,1,0,0,1,28748319.2,266092.59
5138,СВАО,55.888762,37.61608,71.2,3,14,22,0.43,15.18,1.15,1.13,2.32,1981,43,панель,косметический,3.11,1,1,0,1,19811770.96,278151.77
5139,ЮЗАО,55.617383,37.559115,102.2,2,3,9,0.11,16.29,2.19,0.1,1.52,1994,30,кирпич,без ремонта,3.1,0,0,0,1,27866567.13,272599.74
5140,СЗАО,55.835381,37.359981,145.2,2,3,13,2.78,30.05,1.83,1.18,0.6,1996,28,монолит,евроремонт,2.74,0,0,0,1,44055815.87,303414.36
5141,ЮАО,55.64159,37.732768,87.2,4,5,12,0.26,17.72,1.54,0.91,2.03,1972,52,монолит,косметический,2.83,0,0,0,1,21916626.11,251301.24
5142,ЗАО,55.7479,37.407078,58.2,2,6,15,0.18,23.36,2.05,1.14,2.42,1990,34,панель,без ремонта,2.98,1,1,1,1,20257291.61,348279.33
5143,СЗАО,55.823493,37.35891,76.5,3,6,15,1.19,29.78,0.57,0.43,0.45,1994,30,панель,косметический,2.6,1,1,1,1,22569183.36,295146.84
5144,ЦАО,55.749078,37.591996,94.9,1,1,17,0.9,2.85,0.66,0.73,2.83,2016,8,сталинка,евроремонт,2.75,0,1,0,1,51854487.31,546621.19
5145,ЮЗАО,55.677503,37.518159,107.7,2,19,21,0.92,13.78,2.3,0.66,1.09,1982,42,монолит,дизайнерский,2.65,1,1,0,1,32940778.19,305858.44
5146,ВАО,55.783074,37.865328,34.2,5,4,16,0.78,27.72,1.35,1.13,2.05,1975,49,панель,косметический,2.73,1,1,0,1,11592581.18,338534.45
5147,ВАО,55.784186,37.799208,64.6,1,2,9,0.24,20.48,1.27,1.46,0.36,2002,22,блочный,без ремонта,2.61,1,1,0,1,16939158.91,262222.17
5148,СЗАО,55.852216,37.381738,125.5,1,1,13,0.11,28.44,1.03,0.38,2.49,1990,34,панель,косметический,2.88,1,0,1,1,30670258.24,244375.85
5149,СЗАО,55.858787,37.406927,141.8,4,12,16,0.29,26.21,0.77,0.24,1.06,1987,37,монолит,косметический,2.76,1,1,1,1,42943557.17,302851.38
5150,ЮЗАО,55.646646,37.560308,28.0,2,5,16,1.58,13.31,1.73,1.21,0.7,1997,27,монолит,евроремонт,3.15,1,0,0,1,11140351.71,397546.32
5151,ЮВАО,55.704801,37.76181,124.3,1,4,19,0.41,16.85,0.68,0.4,2.66,2010,14,панель,косметический,2.64,1,0,0,1,25866426.62,208137.57
5152,ЦАО,55.751989,37.601006,49.2,2,7,17,0.37,1.83,0.94,0.6,2.06,1978,46,кирпич,без ремонта,2.88,1,1,0,1,23233808.14,471896.78
5153,САО,55.83328,37.543865,44.0,2,10,23,0.25,12.17,0.25,0.77,0.72,1989,35,панель,без ремонта,2.82,1,0,0,1,15465217.58,351113.03
5154,ЗАО,55.724097,37.417057,111.1,2,9,16,1.4,22.46,1.22,1.01,2.76,2014,10,монолит,евроремонт,2.86,1,1,0,1,39581446.49,356136.61
5155,СЗАО,55.821264,37.375393,103.1,2,3,10,1.73,27.95,0.21,0.35,2.5,1990,34,панель,косметический,2.98,1,0,1,1,28156231.45,273131.44
5156,ТАО,55.336923,37.295062,58.5,1,13,19,0.48,58.34,1.68,1.21,1.57,1993,31,панель,евроремонт,2.54,1,0,0,1,9206909.47,157287.76
5157,ЦАО,55.763459,37.613131,68.7,2,8,16,1.42,1.36,0.46,1.34,2.28,1996,28,монолит,без ремонта,2.98,0,1,0,1,34543121.88,502748.64
5158,ЮЗАО,55.648694,37.573096,118.9,2,9,12,0.43,12.48,0.55,1.46,1.51,2019,5,монолит,косметический,2.6,0,1,1,1,32818713.41,276101.61
5159,ЗАО,55.725396,37.423654,63.4,3,14,22,0.42,21.72,0.72,0.28,0.48,2009,15,панель,без ремонта,2.91,0,0,0,1,18960415.72,299155.91
5160,НАО,55.550994,37.345518,62.1,4,12,23,1.02,37.54,0.91,0.68,2.53,2007,17,монолит,евроремонт,2.51,0,1,0,1,14042808.22,225952.67
5161,НАО,55.510593,37.365226,147.4,4,1,13,0.61,38.76,1.52,0.75,1.24,1985,39,панель,без ремонта,2.95,1,0,1,1,26329229.97,178612.47
5162,СЗАО,55.825923,37.397341,36.6,2,10,13,0.33,25.78,1.52,0.74,1.67,1996,28,панель,евроремонт,2.99,0,1,1,1,12585598.69,344134.37
5163,НАО,55.545071,37.354233,90.7,2,17,21,1.48,37.17,1.87,0.22,1.08,1983,41,монолит,без ремонта,2.79,1,1,0,1,20406828.98,225098.96
5164,СЗАО,55.836209,37.394419,34.2,3,3,11,0.32,26.47,0.31,1.14,2.92,1998,26,монолит,евроремонт,2.55,1,1,0,1,13895990.6,405802.62
5165,СВАО,55.859612,37.609771,104.3,1,18,19,0.22,11.98,0.81,0.58,1.33,1987,37,монолит,без ремонта,3.15,0,1,1,1,27361259.71,262259.54
5166,ЮВАО,55.685989,37.75404,144.6,2,18,22,0.14,16.83,1.4,1.27,1.11,1986,38,панель,косметический,3.01,1,0,0,1,31033163.87,214636.79
5167,ЮЗАО,55.631181,37.588642,91.4,1,17,21,1.19,13.79,1.21,1.43,0.87,1982,42,кирпич,без ремонта,2.92,1,1,1,1,23824742.96,260522.28
5168,САО,55.825248,37.545504,75.9,3,10,10,0.63,11.4,1.34,0.97,1.27,2018,6,панель,евроремонт,2.76,0,1,0,1,25998158.47,342682.43
5169,ЮВАО,55.698702,37.75576,84.5,3,2,23,0.15,16.45,1.23,0.52,0.76,2021,3,панель,косметический,2.77,1,0,0,1,20918012.79,247413.05
5170,НАО,55.550416,37.341668,66.9,1,8,23,1.48,37.92,1.77,0.49,1.35,2005,19,панель,без ремонта,2.65,1,0,0,1,10740434.42,160578.18
5171,ЮВАО,55.735723,37.779755,61.1,3,13,17,0.53,18.1,2.48,1.41,2.82,2004,20,панель,дизайнерский,3.05,0,1,0,1,20089268.42,328988.76
5172,НАО,55.561231,37.367956,100.7,3,5,13,0.99,34.87,1.33,0.24,0.72,1987,37,блочный,косметический,2.84,0,0,0,1,21164560.64,210102.57
5173,ЮАО,55.628921,37.729206,66.2,2,15,20,0.23,18.45,0.6,1.22,2.63,1994,30,монолит,дизайнерский,2.74,1,0,0,1,23639022.72,356986.09
5174,ТАО,55.322763,37.27079,34.8,1,7,23,0.93,61.25,0.82,0.63,2.21,2013,11,блочный,косметический,2.84,0,1,1,1,5467425.92,157166.87
5175,ЮАО,55.630856,37.731604,83.5,2,2,10,0.91,18.47,0.45,0.32,0.93,2004,20,панель,без ремонта,3.07,1,0,1,1,22808593.9,273017.17
5176,ЗАО,55.705854,37.42588,111.4,4,5,11,1.56,21.88,0.89,0.95,0.54,2012,12,панель,евроремонт,3.17,1,0,0,1,36243007.73,325265.75
5177,СЗАО,55.822567,37.427099,53.0,1,9,22,0.58,22.54,2.22,0.5,1.4,2008,16,монолит,евроремонт,2.89,1,1,0,1,18066609.14,340761.01
5178,ЮЗАО,55.66121,37.558763,59.4,4,21,21,0.14,12.0,1.57,1.24,1.84,1991,33,панель,косметический,2.89,0,1,0,1,19881213.37,334535.12
5179,СЗАО,55.803794,37.388856,127.5,2,8,24,1.28,26.02,1.16,1.12,1.12,2021,3,панель,евроремонт,2.78,1,0,0,1,33541368.25,263140.39
5180,ВАО,55.807457,37.786045,63.3,3,14,15,0.41,19.7,2.42,1.31,0.79,1978,46,монолит,дизайнерский,2.99,1,1,0,1,22509058.74,355593.05
5181,ЦАО,55.765708,37.639174,117.5,3,18,19,0.1,2.85,1.67,0.17,2.73,1977,47,монолит,косметический,2.89,0,1,0,1,49903391.46,424597.64
5182,ЦАО,55.750196,37.600926,145.2,5,7,14,1.33,1.85,1.53,0.75,1.23,1965,59,кирпич,косметический,3.16,1,0,1,1,63381131.07,436408.2
5183,ЗАО,55.72575,37.438638,53.9,1,5,18,0.53,20.07,2.47,0.66,2.24,1991,33,монолит,евроремонт,2.78,1,0,0,1,19641149.74,364735.52
5184,САО,55.834615,37.516711,47.0,3,1,21,0.18,14.47,1.86,0.29,0.35,1992,32,панель,без ремонта,3.19,1,0,0,1,14980480.04,318477.24
5185,ЮЗАО,55.620144,37.558987,25.3,3,5,14,0.29,16.01,1.89,0.2,1.01,2004,20,монолит,косметический,3.12,1,0,0,1,8786912.7,347981.82
5186,СВАО,55.858778,37.59611,121.7,2,7,14,1.59,12.09,1.57,0.74,2.0,1980,44,панель,косметический,2.8,0,0,0,1,28573990.73,234817.49
5187,ЮВАО,55.705965,37.785793,126.1,2,11,18,2.47,19.37,2.01,0.31,1.5,1987,37,монолит,без ремонта,2.98,0,1,1,1,35513298.39,281536.78
5188,ЮВАО,55.700358,37.805095,108.1,2,12,19,1.48,21.6,0.25,0.47,0.82,2005,19,монолит,без ремонта,2.58,0,1,0,1,23200295.98,214661.18
5189,САО,55.828685,37.516621,149.0,1,15,20,1.43,14.07,0.53,1.46,1.38,1980,44,панель,косметический,3.1,1,0,0,1,49412293.37,331564.93
5190,ЦАО,55.770419,37.599063,35.0,3,3,20,1.01,2.89,0.59,0.85,1.18,2008,16,сталинка,без ремонта,2.67,1,1,0,1,19403600.93,553649.04
5191,ЮАО,55.630896,37.747087,39.6,2,12,20,0.9,19.69,1.41,0.24,2.03,2014,10,блочный,евроремонт,2.64,1,0,1,1,12750618.06,321738.34
5192,НАО,55.553732,37.392705,64.8,2,3,16,0.28,33.27,0.44,1.2,1.98,2018,6,монолит,евроремонт,3.19,1,0,0,1,14025719.72,216463.78
5193,СВАО,55.856798,37.602323,64.4,3,6,17,0.35,11.75,0.79,1.37,1.96,2010,14,панель,без ремонта,2.67,1,0,1,1,18006051.23,279383.35
5194,ЦАО,55.764719,37.593701,42.3,3,17,23,0.49,3.0,0.67,0.49,2.22,1950,74,кирпич,без ремонта,2.81,1,0,1,1,22878339.87,540988.78
5195,ЮВАО,55.709525,37.753935,56.9,2,11,15,2.66,15.86,2.12,1.01,1.13,1999,25,монолит,евроремонт,2.87,0,1,0,1,15086990.26,265098.7
5196,ЮВАО,55.678722,37.774318,100.0,4,6,19,1.23,19.21,1.2,1.1,0.47,1970,54,монолит,косметический,2.5,0,1,1,1,24912318.24,249156.54
5197,ЦАО,55.737693,37.634162,58.5,2,9,15,2.45,2.44,1.19,0.55,1.35,1995,29,монолит,евроремонт,2.75,1,0,0,1,26433202.73,451680.13
5198,ЮВАО,55.688008,37.773013,59.4,1,11,13,0.87,18.67,1.29,0.99,2.6,1980,44,панель,косметический,2.93,1,1,0,1,14380823.83,242275.87
5199,ЮЗАО,55.654169,37.554128,122.9,4,4,15,0.92,12.94,2.01,1.11,1.58,2001,23,панель,косметический,3.2,1,0,0,1,40910383.93,332957.57
5200,ЗАО,55.684507,37.431269,82.2,2,16,22,0.38,21.99,1.11,0.5,2.92,1986,38,панель,косметический,3.15,1,0,1,1,22650141.13,275686.93
5201,ТАО,55.309746,37.296361,99.7,1,9,19,0.37,60.67,0.83,0.81,2.84,2008,16,монолит,евроремонт,2.85,1,0,1,1,18018780.78,180761.41
5202,ЮАО,55.624171,37.690078,113.5,2,24,24,0.92,16.32,0.64,1.31,1.21,2005,19,панель,евроремонт,2.69,1,0,0,1,31376543.24,276536.57
5203,ЮВАО,55.708372,37.771312,31.8,2,7,10,0.71,17.75,1.17,0.51,2.34,1986,38,монолит,косметический,2.54,0,1,1,1,8846709.91,278296.88
5204,СЗАО,55.816682,37.362058,74.9,3,9,24,0.11,29.25,0.52,0.36,2.97,1983,41,панель,косметический,3.15,0,1,0,1,23481740.62,313715.77
5205,ВАО,55.78248,37.775641,113.9,3,3,16,0.12,17.88,0.94,0.82,2.66,2012,12,монолит,евроремонт,3.18,1,0,0,1,32775408.85,287833.22
5206,ЗАО,55.717311,37.437283,131.1,3,15,15,0.23,20.37,0.63,0.81,0.66,2013,11,панель,косметический,2.97,1,0,0,1,33905288.69,258672.54
5207,ТАО,55.319502,37.286687,78.3,2,14,18,1.35,60.44,2.23,1.39,2.13,2002,22,панель,евроремонт,2.56,1,1,0,1,14200851.56,181310.34
5208,САО,55.850323,37.461627,146.1,3,7,7,0.19,20.46,0.26,0.85,2.38,1985,39,кирпич,косметический,2.72,0,0,0,1,44802743.72,306696.23
5209,ЮАО,55.634565,37.71457,107.4,3,2,17,2.92,16.91,1.12,0.26,0.35,1994,30,монолит,без ремонта,2.8,1,0,0,1,30238544.8,281420.19
5210,СЗАО,55.844016,37.365732,104.2,2,6,9,0.46,29.75,0.92,0.61,0.34,2017,7,блочный,евроремонт,3.0,1,0,1,1,28348334.53,272021.56
5211,ТАО,55.322897,37.337412,30.1,2,10,13,1.73,56.88,0.96,0.56,1.89,1999,25,монолит,евроремонт,2.6,1,0,0,1,7161211.61,237705.59
5212,ЮАО,55.6299,37.680248,84.8,1,11,14,1.01,15.24,1.98,0.25,2.1,1970,54,панель,без ремонта,2.59,1,0,0,1,21360635.53,251836.37
5213,ЗАО,55.713203,37.484066,117.5,4,12,21,0.18,15.42,2.1,0.47,2.74,1965,59,кирпич,косметический,2.81,0,1,0,1,33668850.23,286501.95
5214,ЮВАО,55.663494,37.759838,98.7,2,2,15,0.36,18.6,0.39,1.12,1.13,1986,38,монолит,косметический,3.17,1,0,1,1,30086439.74,304830.18
5215,НАО,55.543502,37.367014,143.4,1,15,23,2.5,36.18,1.98,0.22,1.81,1975,49,монолит,без ремонта,3.03,1,0,0,1,24595399.13,171458.45
5216,ВАО,55.770755,37.818353,67.0,2,7,15,0.24,22.39,1.15,0.83,0.52,1993,31,панель,евроремонт,3.0,0,0,0,1,19815132.41,295847.11
5217,НАО,55.57287,37.369853,86.7,3,11,15,1.1,33.93,0.41,1.47,0.53,1972,52,монолит,косметический,2.77,0,0,0,1,16374563.71,188956.74
5218,СВАО,55.861363,37.636996,54.9,3,3,14,0.4,12.33,2.36,0.7,1.55,1991,33,монолит,косметический,2.88,1,1,1,1,20013617.42,364278.13
5219,СВАО,55.881723,37.599992,97.3,2,11,21,0.55,14.53,1.76,0.34,3.0,1974,50,панель,косметический,3.03,1,0,0,1,23213669.15,238572.69
5220,ЮЗАО,55.66126,37.583901,126.4,3,7,11,0.27,10.74,1.09,0.43,1.74,1960,64,монолит,без ремонта,2.8,1,1,0,1,38912895.68,307936.21
5221,ЮЗАО,55.646891,37.588529,47.5,1,6,13,0.11,12.1,0.46,1.39,1.57,2003,21,монолит,без ремонта,2.53,1,1,0,1,13631300.63,286782.92
5222,ЮАО,55.615431,37.720163,119.4,2,10,22,0.3,18.96,2.32,0.16,0.35,1976,48,монолит,без ремонта,2.83,0,0,0,1,28248736.3,236687.04
5223,ЮАО,55.634714,37.688317,71.3,1,4,10,0.68,15.21,1.26,0.48,2.14,1995,29,панель,евроремонт,2.52,0,0,0,1,20632509.88,289391.49
5224,НАО,55.520779,37.358305,116.7,1,6,10,0.69,38.55,1.24,0.41,0.91,2001,23,панель,косметический,2.55,0,0,0,1,18520633.69,158760.53
5225,СЗАО,55.819978,37.345274,47.3,3,20,23,1.55,31.14,2.05,0.87,1.2,2009,15,блочный,без ремонта,2.92,1,1,0,1,13425615.29,283789.67
5226,НАО,55.564588,37.346921,52.1,2,7,20,0.23,36.54,0.82,0.21,2.12,2019,5,блочный,дизайнерский,2.85,1,0,1,1,12830922.48,246130.7
5227,НАО,55.577269,37.376651,82.2,1,16,21,0.71,33.03,0.74,0.66,0.5,2009,15,панель,евроремонт,2.69,1,1,0,1,19915012.74,242199.8
5228,САО,55.834281,37.506267,94.4,3,1,7,0.72,15.36,1.62,0.32,2.3,1989,35,панель,косметический,2.52,1,0,1,1,24952513.98,264398.38
5229,ЗАО,55.706916,37.430835,85.6,1,6,11,0.25,21.32,2.28,1.34,2.7,1978,46,монолит,косметический,2.84,1,0,0,1,24482487.82,286046.18
5230,ЮЗАО,55.647065,37.595075,119.7,3,7,10,0.75,11.91,1.62,0.47,0.94,2014,10,кирпич,косметический,2.71,1,1,0,1,34632816.4,289382.27
5231,ВАО,55.789228,37.849298,108.1,2,1,15,0.34,26.06,1.27,1.39,0.48,2013,11,панель,евроремонт,2.73,1,0,0,1,32087050.83,296831.09
5232,ЮВАО,55.718948,37.762787,109.6,2,13,14,2.06,16.54,0.72,1.11,2.5,1984,40,панель,косметический,2.98,0,0,0,1,27308780.18,249211.67
5233,ЦАО,55.773243,37.613388,40.1,3,9,20,0.86,2.4,0.25,1.31,2.74,1974,50,монолит,без ремонта,2.65,0,0,0,1,21556825.68,537233.1
5234,ВАО,55.795541,37.791898,123.5,3,4,19,1.24,19.95,1.49,0.86,2.52,1991,33,панель,косметический,3.12,0,0,1,1,27347686.71,221470.85
5235,ЮЗАО,55.670306,37.60769,94.0,2,1,22,0.35,9.13,0.23,0.73,0.77,2017,7,кирпич,косметический,3.2,1,0,0,1,31532679.96,335487.1
5236,ЮЗАО,55.660302,37.591815,72.0,1,17,18,0.51,10.57,2.26,1.4,2.55,1993,31,кирпич,косметический,2.99,0,0,0,1,21390961.52,296941.82
5237,ТАО,55.361592,37.281361,87.6,3,14,24,0.94,57.18,2.34,0.39,1.75,1982,42,монолит,косметический,2.9,0,1,0,1,15327055.32,174999.62
5238,НАО,55.528151,37.402027,132.6,1,6,15,0.82,34.49,1.1,0.58,1.0,1994,30,панель,евроремонт,2.59,1,0,0,1,22965080.19,173177.37
5239,ЮВАО,55.708701,37.724878,99.8,1,11,23,0.5,12.85,2.34,0.2,2.97,2001,23,панель,евроремонт,2.89,1,0,1,1,28229403.69,282946.4
5240,СВАО,55.855357,37.595259,63.6,4,3,23,0.96,11.74,2.47,0.51,2.93,2022,2,панель,косметический,2.88,1,1,1,1,18286918.46,287325.42
5241,СВАО,55.859445,37.614505,140.8,3,3,9,0.3,11.93,0.45,0.5,2.57,2004,20,панель,косметический,3.0,1,1,0,1,34172997.13,242781.27
5242,СВАО,55.882066,37.641343,67.2,5,9,12,0.57,14.68,0.54,0.88,2.1,2001,23,панель,евроремонт,2.66,1,0,1,1,25231230.77,375362.61
5243,ЮАО,55.63586,37.746704,41.5,1,5,12,0.9,19.28,1.12,1.11,2.48,2008,16,блочный,евроремонт,2.8,0,0,0,1,11778240.37,283780.27
5244,ЮВАО,55.680613,37.752915,25.4,1,1,18,0.68,16.99,0.28,1.08,0.37,2008,16,монолит,евроремонт,3.11,1,0,0,1,8306627.17,326397.37
5245,НАО,55.559137,37.39211,104.3,1,2,20,1.12,32.93,1.45,0.8,2.29,2009,15,монолит,дизайнерский,2.78,1,1,0,1,22631810.72,217054.29
5246,ЮВАО,55.673365,37.778341,28.2,3,13,13,1.14,19.87,0.39,0.98,2.54,2022,2,блочный,дизайнерский,2.93,0,0,1,1,10072594.37,357278.84
5247,ЗАО,55.727193,37.444234,76.4,2,7,16,0.49,19.43,1.94,0.19,2.46,1960,64,кирпич,без ремонта,3.06,1,0,0,1,25179151.28,329468.29
5248,ВАО,55.799017,37.819559,114.1,5,2,12,1.21,23.03,1.89,0.25,2.91,1972,52,панель,косметический,2.55,0,0,1,1,29395746.74,257568.23
5249,СЗАО,55.831469,37.371317,117.8,3,10,24,0.91,28.71,1.62,0.9,0.96,1987,37,блочный,косметический,2.78,1,0,0,1,27716404.23,235227.12
5250,ЮАО,55.66294,37.737927,45.4,3,4,16,0.7,16.63,1.44,0.19,2.33,2015,9,панель,косметический,2.73,1,0,0,1,13744142.35,302763.34
5251,ЗАО,55.719694,37.417017,42.0,1,6,17,0.64,22.54,0.42,0.34,2.17,2012,12,панель,без ремонта,2.98,1,1,0,1,13078709.39,311155.28
5252,НАО,55.53738,37.382708,129.4,2,16,18,0.11,35.31,2.25,0.46,1.75,2021,3,монолит,евроремонт,2.54,0,0,1,1,28195424.43,217947.74
5253,САО,55.850168,37.517243,45.2,2,19,21,1.22,15.57,0.95,0.6,0.88,1960,64,панель,евроремонт,3.18,0,0,0,1,15506960.17,343288.17
5254,ТАО,55.325601,37.309594,98.4,3,11,17,0.2,58.38,1.23,0.24,0.77,2007,17,монолит,косметический,3.01,1,0,0,1,18317991.09,186064.49
